지역,면적1km당_의료기관수
서울특별시,17.220638286279275
부산광역시,3.7027934576545545
대구광역시,1.4591791702754981
인천광역시,1.8508442776735459
광주광역시,2.371730884408066
대전광역시,2.250919208710935
울산광역시,0.6688741721854304
세종특별자치시,0.5419794005200693
경기도 의정부시,3.9853477036224194
경기도 부천시,10.944808231992516
경기도 광명시,6.2822561076963535
경기도 평택시,0.7699884670778399
경기도 동두천시,0.47034903483489615
경기도 과천시,1.505377585078296
경기도 구리시,5.339134953354857
경기도 남양주시,0.9255019376267094
경기도 오산시,2.8108583928191
경기도 시흥시,2.1295391520060756
경기도 군포시,4.201158844360602
경기도 의왕시,1.369578018761405
경기도 하남시,2.5810518018387154
경기도 파주시,0.3783632969416788
경기도 이천시,0.31204971388811836
경기도 안성시,0.20595906084178622
경기도 김포시,1.0339975128382903
경기도 화성시,0.7407497219280493
경기도 광주시,0.4246054555086234
경기도 양주시,0.4058138933877689
경기도 포천시,0.11122317383184688
경기도 여주시,0.12166891754712186
경기도 연천군,0.04277675094973348
경기도 가평군,0.05932450975141705
경기도 양평군,0.08771734693935557
충청북도 충주시,0.16679258693357776
충청북도 제천시,0.1212092396521061
충청북도 보은군,0.06675082930716864
충청북도 옥천군,0.10050564034024219
충청북도 영동군,0.06376146381084281
충청북도 증평군,0.3056126820363604
충청북도 진천군,0.13746230765114076
충청북도 괴산군,0.04869296855208925
충청북도 음성군,0.14611939176326605
충청북도 단양군,0.03717218460850755
충청남도 공주시,0.10993287435046811
충청남도 보령시,0.148246307020058
충청남도 아산시,0.37030323269526844
충청남도 서산시,0.15492833020160085
충청남도 논산시,0.21213295019893333
충청남도 계룡시,0.4448515183663787
충청남도 당진시,0.1672278222993511
충청남도 금산군,0.09355296900152862
충청남도 부여군,0.11366287794035539
충청남도 서천군,0.15841626085450808
충청남도 청양군,0.06677081745700654
충청남도 홍성군,0.17013886815010507
충청남도 예산군,0.1308222155240429
충청남도 태안군,0.09882776818603689
전라남도 목포시,2.95767411755038
전라남도 여수시,0.41964796536348264
전라남도 순천시,0.21623674900653264
전라남도 나주시,0.159410013875442
전라남도 광양시,0.185000412239
전라남도 담양군,0.10547746566788149
전라남도 곡성군,0.06760548997580419
전라남도 구례군,0.07224054548474693
전라남도 고흥군,0.0991112088369655
전라남도 보성군,0.07222447775755346
전라남도 화순군,0.0787631492378109
전라남도 장흥군,0.07391034860775149
전라남도 강진군,0.07786021553069214
전라남도 해남군,0.07271804219821865
전라남도 영암군,0.0832747547140467
전라남도 무안군,0.15966648049481122
전라남도 함평군,0.10456577984930351
전라남도 영광군,0.12011491659587913
전라남도 장성군,0.0752391730323589
전라남도 완도군,0.13354561879282167
전라남도 진도군,0.09088619915423848
전라남도 신안군,0.0808103056095878
경상북도 경주시,0.12151416485260988
경상북도 김천시,0.09207424812718455
경상북도 안동시,0.08080029106813666
경상북도 구미시,0.40943662647772133
경상북도 영주시,0.12086543988205396
경상북도 영천시,0.09246906208468235
경상북도 상주시,0.07332394052592531
경상북도 문경시,0.07236412284590509
경상북도 경산시,0.4661569564068466
경상북도 의성군,0.04937875111855216
경상북도 청송군,0.03072799372891758
경상북도 영양군,0.019611076609643646
경상북도 영덕군,0.056658629446720836
경상북도 청도군,0.05608581005837769
경상북도 고령군,0.08067786814844115
경상북도 성주군,0.06005011877045201
경상북도 칠곡군,0.15297711049388812
경상북도 예천군,0.07104198813670141
경상북도 봉화군,0.021618017857595248
경상북도 울진군,0.04340659018132735
경상북도 울릉군,0.06846170987912743
경상남도 진주시,0.3618820776560113
경상남도 통영시,0.41681470709353063
경상남도 사천시,0.1755160985058026
경상남도 김해시,0.6083540459009729
경상남도 밀양시,0.0964072657984427
경상남도 거제시,0.3342616704299125
경상남도 양산시,0.4467750491189533
경상남도 의령군,0.06833511870220128
경상남도 함안군,0.09121192431728985
경상남도 창녕군,0.11827294533578221
경상남도 고성군,0.09072958619588958
경상남도 남해군,0.12857030046686363
경상남도 하동군,0.07552186049850707
경상남도 산청군,0.04907435233101128
경상남도 함양군,0.05795298283609405
경상남도 거창군,0.07836244062448332
경상남도 합천군,0.05085857400114051
제주특별자치도 제주시,0.4301328943187907
제주특별자치도 서귀포시,0.18014786748091544
강원도 춘천시,0.1907891324252947
강원도 원주시,0.3063509572021459
강원도 강릉시,0.14027301040095932
강원도 동해시,0.29394193437751864
강원도 태백시,0.08568459835492821
강원도 속초시,0.6524596385630803
강원도 삼척시,0.03367466164000951
강원도 홍천군,0.03240738433011513
강원도 횡성군,0.030060054036073376
강원도 영월군,0.022174763969772228
강원도 평창군,0.023902897143818918
강원도 정선군,0.023774755337948445
강원도 철원군,0.03370295252772082
강원도 화천군,0.021999912277549785
강원도 양구군,0.024169486189548794
강원도 인제군,0.010326828510626461
강원도 고성군,0.028754483635556247
강원도 양양군,0.026993679233112494
전라북도 군산시,0.52258820693484
전라북도 익산시,0.4421705944450274
전라북도 정읍시,0.17597105849580308
전라북도 남원시,0.13296232412824083
전라북도 김제시,0.1739978687532208
전라북도 완주군,0.10104943121466603
전라북도 진안군,0.04435223527434445
전라북도 무주군,0.037970904838466914
전라북도 장수군,0.043137043997487357
전라북도 임실군,0.07535585042057942
전라북도 순창군,0.08872210423795487
전라북도 고창군,0.11193744780021408
전라북도 부안군,0.10707022774217237
경기도 수원시,4.8600000486
경기도 성남시,5.543478260869565
경기도 안산시,2.379720641489912
경기도 고양시,1.8725460585925702
경기도 용인시,0.28443113772455086
경기도 안양시,2.3947998631542937
충청북도 청주시,0.3863681394888052
충청남도 천안시,0.3695339765961815
경상북도 포항시,0.3401619577082223
경상남도 창원시,0.606003219392103
전라북도 전주시,3.444268357105124
